fam_ID__	seq_ct	present	below	equal	above	glyma	phavu	vigan	vigra	vigun	cajca	medtr	cicar	tripr	lotja	lupan	aradu	araip	arahy
L_01KHS4	320	12	4	2	8	12	1	2	1	0	228	15	0	22	10	2	4	3	20	
L_01QPBW	297	6	9	1	4	0	0	6	1	0	263	5	0	20	2	0	0	0	0	
L_01SD0S	280	12	2	0	12	5	16	19	12	0	69	0	35	17	43	3	24	24	13	
L_01T382	294	14	4	3	7	32	107	2	1	67	15	39	1	21	3	2	1	2	1	
L_01TN5P	274	9	6	0	8	3	0	0	0	0	20	23	1	24	3	0	31	21	148	
L_01V4H4	294	13	1	1	12	25	4	9	0	8	10	6	9	6	8	2	41	46	120	
L_01VZDS	264	6	9	0	5	80	0	0	0	0	8	101	0	40	34	1	0	0	0	
L_025FRV	240	12	4	1	9	2	3	6	0	1	163	9	1	11	5	0	5	16	18	
L_027396	265	11	7	0	7	19	5	1	1	1	145	31	0	48	10	1	0	0	3	
L_0281NZ	255	7	9	0	5	1	1	0	0	0	15	0	0	11	0	0	45	45	137	
L_028LPL	259	12	2	1	11	3	16	2	0	24	9	143	19	5	14	0	6	10	8	
L_02B2NT	236	10	9	1	4	1	1	2	1	3	1	1	0	0	0	0	94	110	22	
L_02DV04	245	10	7	0	7	0	0	5	13	0	4	4	1	11	1	1	0	4	201	
L_02FWYN	248	14	0	1	13	17	13	2	6	17	10	22	6	13	13	7	30	29	63	
L_02GKW1	249	3	11	0	3	0	0	0	0	0	0	0	0	0	0	0	48	65	136	
L_02JKL2	235	9	5	1	8	0	13	17	3	0	5	0	129	14	2	0	33	19	0	
L_02KNL1	231	13	2	3	9	5	5	1	2	2	9	88	0	30	75	2	3	3	6	
L_02LHC8	223	9	7	1	6	28	0	1	0	0	6	1	0	16	2	0	13	19	137	
L_02LLS3	229	14	0	1	13	21	33	9	8	29	9	25	8	20	15	2	11	15	24	
L_02NY6D	204	11	6	2	6	6	1	2	1	0	139	0	2	1	12	0	15	19	6	
L_02QXLV	191	9	6	2	6	78	0	0	1	0	2	14	2	0	0	11	6	20	57	
L_02V355	209	10	5	2	7	3	0	0	0	0	3	151	3	6	34	2	1	2	4	
L_02W937	204	6	8	2	4	0	0	0	0	0	2	0	0	5	2	0	71	85	39	
L_02W9L4	204	8	9	2	3	3	2	0	1	0	188	0	1	6	2	0	0	0	1	
L_02Y0P0	191	14	0	0	14	8	6	7	8	8	5	6	6	6	8	8	22	49	44	
L_02Y6NY	214	14	0	0	14	9	15	13	12	21	8	11	4	5	5	16	22	24	49	
L_02ZLX0	206	13	3	0	11	7	5	0	1	11	15	52	10	4	31	1	17	18	34	
L_030D6S	200	14	0	1	13	22	22	2	3	27	5	21	16	19	10	11	10	9	23	
L_030HTZ	193	7	8	1	5	0	0	5	2	0	130	18	0	12	1	0	0	0	25	
L_031RY6	192	12	5	2	7	23	1	2	1	0	0	9	1	25	7	2	39	51	31	
L_031SBR	194	13	1	0	13	12	7	4	3	12	10	19	0	11	8	6	25	24	53	
L_03479X	189	13	2	1	11	10	1	4	2	6	4	56	5	14	17	0	14	19	37	
L_034CXV	181	11	7	2	5	2	1	9	1	1	106	4	14	40	1	2	0	0	0	
L_034KHF	179	9	7	0	7	0	3	0	0	1	0	3	4	9	1	0	75	69	14	
L_0387VJ	195	12	3	0	11	59	7	3	6	15	23	1	0	0	19	9	10	8	35	
L_038PV2	175	7	9	0	5	11	0	0	0	0	6	0	0	3	3	1	0	1	150	
L_03DJJZ	188	12	4	0	10	10	1	1	0	4	17	69	10	17	8	0	12	9	30	
L_03GJ2S	181	3	11	0	3	0	0	0	0	0	0	0	0	0	0	0	30	40	111	
L_03GMLV	162	3	11	0	3	0	0	0	0	0	0	6	151	0	5	0	0	0	0	
L_03H33C	166	8	7	2	5	2	0	0	0	0	1	8	0	3	2	0	67	66	17	
L_03L225	184	4	11	1	2	0	0	0	0	0	0	118	2	63	1	0	0	0	0	
L_0402VZ	182	9	6	0	8	13	38	1	4	77	4	21	0	17	7	0	0	0	0	
L_042YT3	169	5	12	0	2	1	0	0	0	0	0	0	0	5	1	0	1	0	161	
L_046XWV	175	8	7	2	5	0	0	6	0	0	141	10	1	9	2	2	0	0	4	
L_04B60R	164	5	10	0	4	0	0	0	0	0	8	0	0	0	1	0	46	27	82	
L_04DJ3T	168	8	6	3	5	0	0	9	0	0	136	6	6	2	2	2	0	0	5	
L_04N1VR	150	5	10	0	4	0	0	12	1	0	0	79	0	49	9	0	0	0	0	
L_04P6L7	174	10	4	1	9	0	14	0	0	12	6	42	2	16	12	0	9	15	46	
L_04SVQ0	163	14	0	1	13	18	10	2	3	12	12	24	4	19	13	20	5	8	13	
L_04WL0B	162	13	2	1	11	18	16	6	0	26	4	20	1	7	4	2	11	15	32	
L_04ZWHG	160	14	3	2	9	18	6	2	6	13	13	16	1	2	1	1	18	22	41	
L_050F80	142	13	1	0	13	5	8	14	3	0	7	9	6	15	5	4	30	33	3	
L_051F3R	158	13	2	2	10	20	14	1	0	15	8	5	2	3	2	5	16	17	50	
L_0533N1	123	7	9	0	5	25	18	1	0	0	18	0	0	1	4	0	0	0	56	
L_055Z3C	152	14	1	0	13	18	13	3	1	11	11	22	4	22	16	6	6	6	13	
L_05D23G	152	13	1	0	13	19	16	3	0	20	7	20	9	13	4	10	8	8	15	
L_05HDPY	154	11	3	0	11	47	5	4	3	13	15	29	3	17	9	9	0	0	0	
L_05L4ZT	146	14	0	0	14	15	13	8	8	11	10	16	7	10	9	8	7	8	16	
L_05MBQQ	147	11	12	0	2	1	1	3	1	1	1	1	135	1	1	1	0	0	0	
L_05P63V	144	14	0	0	14	10	12	8	5	15	11	7	9	8	7	9	10	11	22	
L_05R9YK	148	14	2	2	10	28	13	3	10	41	15	11	1	12	2	1	3	2	6	
L_05YM8W	141	6	8	1	5	65	5	0	0	0	25	0	0	0	6	0	0	2	38	
L_066YP7	129	8	7	2	5	0	1	35	3	0	2	79	2	3	4	0	0	0	0	
L_06B0LX	136	14	1	2	11	13	5	2	2	5	20	18	3	8	5	1	15	10	29	
L_06B4LT	141	14	4	2	8	2	1	3	2	1	1	38	3	13	53	1	7	6	10	
L_06GBCV	142	13	1	1	12	23	6	4	4	11	16	9	2	4	6	0	15	11	31	
L_06HBRN	143	10	7	2	5	1	0	0	0	0	1	91	6	13	22	1	2	2	4	
L_06HBZC	127	13	2	1	11	9	2	7	8	13	5	17	7	19	1	0	8	11	20	
L_06HS3T	129	8	6	1	7	16	0	0	0	0	3	25	0	11	2	0	20	24	28	
L_06HWZV	136	14	0	0	14	19	12	9	5	12	9	15	9	16	5	14	3	4	4	
L_06J480	140	13	10	2	2	2	1	1	1	1	0	1	123	1	1	1	1	2	4	
L_06KBYR	140	5	11	0	3	0	0	0	0	0	0	0	0	1	1	0	49	13	76	
L_06LDTV	123	9	11	1	2	1	0	15	1	0	100	0	1	1	2	1	0	0	1	
L_06LX84	135	14	0	0	14	10	9	5	6	18	8	6	5	5	12	6	13	11	21	
L_06M2J5	139	14	1	0	13	12	10	6	5	9	6	21	9	17	10	1	8	10	15	
L_06P141	134	14	0	2	12	11	8	2	2	10	12	16	5	9	11	7	11	8	22	
L_06PBBJ	133	14	4	2	8	4	2	2	1	3	1	7	1	4	1	7	24	24	52	
L_06QG3Q	133	14	0	0	14	8	7	4	4	14	5	19	7	20	5	3	6	13	18	
L_06S6JL	133	12	3	2	9	15	19	1	0	11	6	16	0	6	2	2	11	15	29	
L_06S7RH	111	10	6	1	7	2	0	4	1	0	62	17	6	10	5	0	0	1	3	
L_06SK9S	132	14	5	3	6	5	2	1	1	1	1	2	2	1	6	7	19	31	53	
L_06V9P9	137	13	2	0	12	23	12	7	6	31	4	6	10	7	1	0	6	6	18	
L_06VPND	132	14	0	0	14	5	4	5	5	14	5	11	4	12	12	4	12	13	26	
L_06XZ12	119	9	6	0	8	16	4	0	0	0	19	1	0	8	3	0	7	9	52	
L_06ZJTN	133	11	6	2	6	6	2	7	4	0	0	1	0	18	2	1	33	58	1	
L_06ZKHN	130	14	0	2	12	27	14	7	2	8	14	11	9	10	13	5	2	3	5	
L_06ZZ96	131	14	1	0	13	24	8	1	5	10	11	13	4	9	7	4	8	9	18	
L_0720QV	131	14	3	0	11	13	11	14	8	13	11	1	1	1	9	8	11	10	20	
L_072DJM	130	13	1	0	13	23	10	4	7	11	10	10	6	8	8	0	7	9	17	
L_074V7Y	135	8	7	2	5	2	0	0	0	0	1	13	0	13	2	0	20	27	57	
L_076C24	130	14	3	0	11	26	15	1	1	14	6	18	1	12	6	4	5	5	16	
L_076KCF	129	14	0	0	14	12	6	3	6	14	11	27	4	7	10	4	7	6	12	
L_0770FP	131	13	2	1	11	13	12	3	2	5	5	14	1	11	7	0	10	13	35	
L_0778FN	80	9	7	0	7	1	1	0	0	6	5	9	0	7	0	3	34	14	0	
L_07CKV6	93	10	6	2	6	0	9	23	0	2	33	1	11	5	6	1	0	0	2	
L_07FHWC	108	10	6	3	5	1	0	13	2	0	65	1	2	13	5	4	0	0	2	
L_07GVYS	121	3	11	0	3	0	0	0	0	0	0	0	0	0	0	0	22	26	73	
L_07LHCJ	99	9	6	1	7	2	3	14	20	3	38	7	1	11	0	0	0	0	0	
L_07QLMK	115	6	10	1	3	1	0	0	0	0	0	52	41	18	2	0	0	0	1	
L_07RDJ7	127	12	7	4	3	2	1	1	1	0	1	2	1	2	0	2	34	62	18	
L_07S946	129	6	11	0	3	0	0	0	0	0	0	0	1	1	1	0	67	52	7	
L_07SZ6Y	127	14	0	1	13	28	5	7	5	10	14	11	3	7	2	4	7	8	16	
L_07T6NZ	130	7	7	2	5	0	0	3	0	3	0	4	0	2	2	0	42	74	0	
L_07VF22	127	14	0	1	13	11	8	9	4	16	5	12	2	7	11	4	10	9	19	
L_07XDGB	124	14	0	0	14	14	7	6	6	7	7	8	7	7	6	13	9	9	18	
L_07Z9VQ	126	14	0	1	13	7	11	2	3	15	4	8	3	4	9	15	7	14	24	
L_082XXV	124	14	2	1	11	5	9	12	6	25	10	8	8	25	7	5	2	1	1	
L_08691K	123	13	5	2	7	2	1	1	1	0	1	23	5	2	21	3	9	15	39	
L_086DR9	123	13	3	1	10	8	4	1	1	5	4	27	2	20	9	0	7	14	21	
L_088F6J	125	3	11	0	3	0	0	0	0	0	0	0	0	0	0	0	31	30	64	
L_088V31	115	12	2	2	10	29	8	0	0	7	15	6	9	8	15	7	2	2	7	
L_089TM5	126	6	9	0	5	0	0	10	0	0	94	5	12	4	1	0	0	0	0	
L_08C7J9	120	14	0	5	9	9	2	2	2	2	3	27	16	19	2	3	10	9	14	
L_08D0LK	120	13	1	2	11	7	4	2	0	5	2	28	18	12	14	10	6	5	7	
L_08D1TB	114	10	5	1	8	14	3	7	1	0	48	7	4	16	12	2	0	0	0	
L_08FRMP	119	13	2	0	12	14	10	0	1	9	8	10	8	9	10	7	6	6	21	
L_08HGD8	122	13	1	3	10	18	3	2	0	5	7	8	2	11	2	4	12	14	34	
L_08J0FD	118	14	0	5	9	5	2	2	2	2	3	39	2	18	8	6	6	9	14	
L_08NZM3	119	13	2	2	10	26	4	2	1	2	10	5	4	3	5	0	12	13	32	
L_08P5XZ	120	13	1	0	13	12	12	4	0	9	6	12	3	8	6	6	10	10	22	
L_08Q219	117	14	0	0	14	14	6	6	6	6	7	8	6	8	6	12	8	8	16	
L_08QR4C	108	3	11	0	3	0	0	0	0	0	0	0	0	0	0	0	32	23	53	
L_08RYYJ	116	14	2	2	10	22	7	7	2	10	5	28	5	14	7	5	1	1	2	
L_08SNPR	118	14	1	1	12	12	10	2	1	7	6	13	9	15	6	7	7	8	15	
L_08WV7S	121	13	2	1	11	14	20	3	2	11	10	4	1	6	13	0	10	6	21	
L_08X0JD	94	7	9	1	4	1	0	23	33	0	20	1	0	14	2	0	0	0	0	
L_08XN7X	112	9	9	2	3	6	0	2	0	0	95	0	1	3	2	1	0	1	1	
L_08XP6F	116	13	1	0	13	7	24	7	5	12	5	0	10	10	7	7	3	8	11	
L_08ZGGF	114	13	1	1	12	11	6	2	0	8	6	15	5	8	5	6	9	8	25	
L_090FQQ	80	8	8	2	4	2	0	0	0	0	2	1	0	7	7	1	24	36	0	
L_092M8D	116	4	11	0	3	0	0	0	0	0	0	0	0	0	1	0	20	35	60	
L_092QM6	108	6	8	1	5	0	0	7	2	0	0	0	52	3	0	0	14	30	0	
L_0933X7	112	13	3	3	8	19	3	2	2	1	1	17	2	16	8	0	11	10	20	
L_093P2X	114	12	3	3	8	18	8	0	0	12	7	2	2	1	2	4	12	17	29	
L_094N9R	112	13	10	3	1	2	1	1	1	1	0	1	97	1	2	1	1	1	2	
L_0977B6	113	14	4	2	8	3	3	1	2	5	3	2	1	1	1	6	17	20	48	
L_0979NT	112	11	3	1	10	14	6	4	2	9	6	28	6	17	5	15	0	0	0	
L_09LYMH	40	7	9	0	5	0	0	0	0	16	0	7	0	1	3	0	5	1	7	
L_09MQ0T	111	14	0	0	14	15	5	6	5	10	9	11	5	8	5	6	5	7	14	
L_09QZT5	72	8	9	1	4	0	2	4	0	0	4	1	0	1	1	0	24	35	0	
L_09RBXJ	109	14	1	0	13	10	7	4	3	7	10	13	1	9	3	6	10	7	19	
L_09V46L	109	14	0	0	14	6	6	7	5	13	6	8	3	5	8	3	8	11	20	
L_09V8TQ	108	14	1	3	10	20	5	2	1	12	9	19	2	18	5	2	5	3	5	
L_09WLVT	111	8	10	0	4	1	1	0	0	0	0	6	0	0	1	1	23	29	49	
L_09XPZ8	111	14	1	0	13	14	9	5	4	13	12	4	1	5	4	10	8	7	15	
L_09ZFB7	108	14	0	0	14	12	6	6	6	6	6	6	8	6	4	14	7	7	14	
L_09ZY7S	110	3	11	1	2	0	0	0	0	0	0	0	0	0	0	0	10	2	98	
L_0B03NV	108	14	0	1	13	14	9	4	4	8	7	16	7	9	4	14	2	5	5	
L_0B0G55	105	7	8	0	6	39	0	0	0	0	19	12	0	10	21	0	1	3	0	
L_0B1X2D	112	14	0	3	11	18	11	7	5	12	10	17	2	2	5	2	5	6	10	
L_0B267T	86	10	5	3	6	2	2	1	0	28	7	4	0	0	0	2	12	7	21	
L_0B36DP	106	14	2	0	12	11	10	1	3	8	4	19	5	11	1	4	7	9	13	
L_0B4XSX	107	14	2	0	12	17	10	3	4	7	8	18	5	8	6	8	1	1	11	
L_0B4XSY	105	14	1	0	13	12	5	4	1	3	8	25	3	7	12	3	5	7	10	
L_0B7VYN	109	14	1	1	12	6	4	4	1	8	2	5	4	18	11	4	9	8	25	
L_0B97R8	104	13	2	2	10	7	0	4	1	4	3	7	2	9	14	2	11	14	26	
L_0BH960	72	7	8	2	4	36	2	0	0	0	10	18	0	3	1	0	0	0	2	
L_0BK7HN	105	13	2	0	12	13	6	0	1	7	6	9	6	9	14	8	6	7	13	
L_0BK7KM	93	5	9	0	5	0	0	0	0	0	0	4	0	3	0	0	27	36	23	
L_0BKXHM	106	14	2	3	9	13	11	2	1	4	6	37	5	12	6	1	2	2	4	
L_0BLFWC	103	14	0	2	12	6	12	2	2	15	5	6	3	6	7	10	7	6	16	
L_0BLJD8	103	14	2	0	12	20	6	4	3	6	11	13	6	9	12	8	1	3	1	
L_0BLPRC	103	7	10	0	4	0	3	5	0	0	89	3	0	1	1	1	0	0	0	
L_0BN00C	102	13	2	3	9	20	11	3	2	13	9	9	7	13	1	10	2	2	0	
L_0BP4YB	94	7	9	0	5	20	11	0	0	0	50	0	0	7	4	1	0	0	1	
L_0BPH23	103	8	9	0	5	27	5	1	0	1	17	39	0	12	0	1	0	0	0	
L_0BVMDC	106	14	0	1	13	16	2	4	4	6	6	16	7	16	9	4	4	4	8	
L_0BZHYW	101	14	0	1	13	11	7	5	3	7	7	8	3	2	7	4	9	10	18	
L_0BZQGT	102	14	0	2	12	11	7	7	7	9	8	7	5	10	2	11	2	4	12	
L_0C0SD2	105	3	11	0	3	0	0	0	0	0	0	0	0	0	0	0	21	25	59	
L_0C0Z3C	105	8	7	0	7	13	15	6	1	18	13	27	0	12	0	0	0	0	0	
L_0C139K	101	10	5	3	6	6	9	2	0	14	7	53	1	5	0	0	2	0	2	
L_0C1BMX	99	14	0	1	13	9	6	3	2	8	6	10	5	3	8	6	4	11	18	
L_0C1GC6	97	10	5	3	6	2	0	0	0	0	1	39	2	18	10	2	5	7	11	
L_0C4TGW	102	14	1	2	11	7	5	3	2	10	5	5	1	6	2	7	10	11	28	
L_0C5LXY	99	14	0	0	14	15	6	6	4	8	9	8	6	6	6	10	3	3	9	
L_0C5SL5	99	13	3	0	11	13	7	7	6	7	5	19	6	14	8	5	0	1	1	
L_0C7SKC	99	11	3	2	9	24	4	3	2	3	6	26	5	14	10	0	0	0	2	
L_0C8BJ0	101	13	3	2	9	7	7	6	7	9	8	20	2	26	2	5	1	0	1	
L_0CG5NK	103	13	3	1	10	16	10	3	0	10	13	18	8	14	3	4	1	1	2	
L_0CGNPH	98	13	2	0	12	4	11	0	1	6	4	14	4	11	3	7	8	9	16	
L_0CH7WS	100	14	1	0	13	21	6	4	3	7	8	13	3	12	6	4	3	1	9	
L_0CHN7C	98	12	4	2	8	4	2	1	0	14	2	18	0	19	4	1	8	5	20	
L_0CHTQJ	98	14	1	4	9	8	13	4	2	10	10	17	7	13	7	2	2	1	2	
L_0CJL1Z	100	10	5	1	8	2	0	0	0	1	3	30	4	18	7	0	8	9	18	
L_0CVKSK	96	14	1	0	13	13	9	4	1	8	4	10	9	9	8	8	3	3	7	
L_0D429F	97	14	0	0	14	12	5	6	5	5	6	6	5	5	8	11	6	7	10	
L_0D58ZW	99	13	4	2	8	7	19	8	5	24	7	13	1	2	9	0	1	1	2	
L_0D6KK7	102	13	3	1	10	2	1	7	3	3	10	6	1	3	4	0	13	21	28	
L_0D8CF4	85	14	1	3	10	10	4	1	3	2	7	2	2	3	6	5	4	11	25	
L_0DCGSL	102	4	10	0	4	0	0	0	0	0	0	84	8	6	4	0	0	0	0	
L_0DGLF3	100	13	1	3	10	23	6	2	0	7	2	7	5	2	9	4	7	8	18	
L_0DJX5X	99	13	4	1	9	10	1	2	0	1	5	20	8	10	6	1	8	10	17	
L_0DQVKV	96	13	5	1	8	22	16	6	0	10	8	16	1	7	1	1	1	2	5	
L_0DR4C2	96	14	0	0	14	18	6	5	4	6	7	4	7	7	6	11	4	3	8	
L_0DR5GX	95	14	3	2	9	15	10	1	1	8	5	12	2	9	2	1	6	10	13	
L_0DTM1Q	92	4	12	0	2	0	0	0	0	0	0	1	0	1	0	0	0	3	87	
L_0DVGHQ	96	11	6	0	8	6	46	1	8	0	7	14	0	3	3	6	0	1	1	
L_0DW6H1	98	14	2	0	12	8	6	5	1	10	17	14	6	5	8	1	3	6	8	
L_0DWZFP	87	13	3	0	11	10	6	0	1	8	8	15	1	9	5	11	3	4	6	
L_0DX6NY	99	5	10	0	4	0	0	0	0	0	0	1	0	3	0	0	12	34	49	
L_0DYM8S	94	14	1	1	12	11	7	2	1	8	7	16	8	5	6	3	5	4	11	
L_0DZ3YF	93	14	0	5	9	4	2	5	3	2	2	2	3	3	2	5	19	4	37	
L_0DZJ08	93	13	2	2	10	12	5	0	1	3	2	13	5	10	2	3	9	8	20	
L_0DZN75	93	13	2	0	12	7	8	5	0	10	4	18	1	5	10	11	4	4	6	
L_0F10DB	93	14	0	2	12	7	5	2	2	6	4	8	3	6	3	8	8	10	21	
L_0F3J5V	92	14	0	2	12	18	6	4	2	5	3	8	3	7	17	4	2	3	10	
L_0F56DF	95	9	6	1	7	52	9	5	0	9	5	1	0	0	0	0	2	3	9	
L_0F73TK	92	13	1	0	13	6	6	4	3	7	6	5	7	4	9	0	10	8	17	
L_0F7JK5	92	14	1	1	12	11	6	7	11	9	11	9	5	7	6	3	1	2	4	
L_0F81PF	92	10	5	1	8	6	2	5	4	11	4	0	0	0	0	1	13	16	30	
L_0F89GK	88	10	6	1	7	2	4	0	1	25	4	10	0	1	0	0	10	15	16	
L_0F8Q4T	93	14	0	3	11	13	5	5	2	6	4	6	3	8	2	2	8	10	19	
L_0F94Z3	92	14	1	0	13	5	4	3	3	5	1	15	3	3	5	3	10	12	20	
L_0F9PPG	89	14	1	1	12	7	8	9	3	3	16	2	3	12	4	1	6	7	8	
L_0FB146	90	14	1	0	13	13	8	5	1	12	5	5	4	5	5	8	5	3	11	
L_0FD3PS	90	14	1	0	13	9	6	3	6	8	4	13	4	9	1	5	5	3	14	
L_0FG9BF	92	14	0	1	13	9	7	7	6	9	9	8	6	7	8	4	3	2	7	
L_0FM2W1	90	14	0	0	14	11	6	5	5	5	5	4	4	4	12	9	5	5	10	
L_0FMDTV	90	14	0	0	14	8	6	5	4	6	4	6	4	7	11	9	5	5	10	
L_0FRTLZ	91	14	2	0	12	4	6	5	3	19	12	7	4	1	1	3	4	9	13	
L_0FS2P5	94	2	13	0	1	0	0	0	0	0	0	0	93	1	0	0	0	0	0	
L_0FWGQD	90	14	0	1	13	10	5	4	3	7	6	6	2	6	4	4	8	9	16	
L_0FY2VW	89	14	0	0	14	10	5	6	8	7	7	9	5	7	3	6	4	4	8	
L_0FZR5R	89	14	0	0	14	13	6	3	3	6	4	7	5	5	6	8	5	6	12	
L_0G1DHM	90	14	0	0	14	11	8	3	3	13	7	9	3	5	6	3	5	5	9	
L_0G242L	93	13	2	1	11	13	8	4	4	17	4	16	7	2	0	1	3	4	10	
L_0G69T3	93	12	3	3	8	4	2	0	0	1	5	10	2	5	9	2	17	10	26	
L_0G6LW3	88	14	1	1	12	12	6	2	1	6	5	5	6	5	7	12	5	6	10	
L_0G9Q1K	85	9	8	0	6	1	0	0	0	0	1	24	3	9	1	0	10	14	22	
L_0GB366	69	11	6	0	8	1	1	1	0	10	9	4	0	0	3	3	13	9	15	
L_0GH991	92	3	13	0	1	1	0	0	0	0	0	0	90	1	0	0	0	0	0	
L_0GJKJ0	88	1	13	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	88	
L_0GK23H	87	14	0	0	14	8	5	5	5	5	5	4	4	4	9	9	5	7	12	
L_0GKK0B	66	7	9	1	4	0	3	1	0	1	0	42	11	6	2	0	0	0	0	
L_0GKWV0	86	13	1	1	12	13	7	7	0	5	6	8	2	11	3	4	5	5	10	
L_0GM6V5	87	13	2	0	12	7	5	0	1	10	5	11	3	5	7	8	6	5	14	
L_0GMNQC	90	11	5	0	9	10	12	0	1	8	7	5	0	0	4	1	7	12	23	
L_0GPX9Q	86	14	1	0	13	6	3	3	1	4	5	19	8	8	5	10	3	4	7	
L_0GRNRV	90	13	1	1	12	10	5	4	4	4	5	11	2	12	6	0	5	9	13	
L_0GTH37	86	13	2	1	11	9	6	2	1	8	5	13	4	10	15	0	3	3	7	
L_0GV9CL	89	14	1	2	11	20	4	3	5	12	9	4	2	9	6	1	2	3	9	
L_0GWLYY	85	14	0	0	14	11	6	5	5	6	6	5	4	5	4	10	5	5	8	
L_0GX3WW	89	9	6	0	8	6	16	4	4	21	6	3	0	1	28	0	0	0	0	
L_0GXXBD	85	14	0	0	14	9	5	6	5	5	6	5	5	6	5	11	4	3	10	
L_0GYGP2	89	9	8	1	5	4	0	2	1	0	65	1	1	8	4	0	0	0	3	
L_0GZG6J	84	14	1	1	12	7	8	2	1	5	5	7	5	7	5	4	5	7	16	
L_0H00R0	84	14	0	6	8	6	8	2	2	3	3	2	2	2	4	2	11	10	27	
L_0H0QD8	84	14	0	2	12	12	2	3	2	4	4	12	8	5	5	4	7	5	11	
L_0H6595	89	7	10	0	4	1	0	0	0	0	0	1	0	1	6	0	23	25	32	
L_0H7TJ1	83	14	0	2	12	9	8	7	6	7	5	8	4	8	5	7	2	2	5	
L_0H8HQG	83	14	3	1	10	17	7	7	3	7	11	8	1	9	5	4	1	2	1	
L_0H8X1W	83	14	0	0	14	12	6	7	5	9	5	4	4	4	4	8	4	4	7	
L_0H9230	80	7	8	1	5	0	0	0	0	0	4	7	0	2	1	0	11	24	31	
L_0HBRD8	83	14	0	2	12	11	7	7	4	7	6	5	6	5	7	9	2	2	5	
L_0HFHNV	86	13	1	1	12	13	4	4	2	6	6	8	4	15	0	13	3	3	5	
L_0HFYV1	87	14	0	2	12	9	7	3	3	8	10	5	2	2	6	3	8	6	15	
L_0HHQQW	82	14	0	2	12	8	3	2	2	3	5	4	5	5	7	4	9	7	18	
L_0HJK2P	82	11	4	0	10	6	12	9	12	20	3	6	1	0	0	0	3	3	7	
L_0HQFRM	87	9	5	1	8	29	5	7	2	9	9	15	0	6	0	5	0	0	0	
L_0HR4JT	84	9	5	1	8	2	0	0	0	0	3	27	3	15	19	0	3	4	8	
L_0HT4NW	87	14	3	0	11	10	6	5	3	7	6	19	5	11	7	5	1	1	1	
L_0HT9NV	83	13	3	5	6	4	2	46	10	2	2	4	0	3	2	4	1	1	2	
L_0HX90T	82	14	1	0	13	9	5	3	1	6	4	4	4	5	6	8	7	7	13	
L_0HX90X	86	14	2	2	10	7	10	3	1	18	7	13	6	5	4	1	2	2	7	
L_0HZ8MS	83	14	0	0	14	5	3	4	3	6	10	5	4	5	6	6	8	6	12	
